"product-card__thumbnail href","product-card__background src","text-12-medium","text-12-book","product-card__image src","text-18-medium","ellipsis","ellipsis 2","ellipsis 3","ellipsis 4","product-card__footer src","quick-add-button__add","quick-add-button__select","product-price__prices","text-14-medium","quick-add__variant","quick-add__price","quick-add__variant 2","quick-add__price 2","quick-add__variant 3","quick-add__price 3","quick-add__variant 4","quick-add__price 4","quick-add__variant 5","quick-add__price 5","tablescraper-selected-row","quick-add__variant 6","quick-add__price 6","text-body-small"
"https://watchhouse.com/products/rituals-pods","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Rituals_coffee_pods.png?v=1777359828&width=660","Rituals Pods.","Tasting Notes.","Almond, Milk Chocolate, Cherry","Origin.","Guatemala","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Size.","£18.00","Select Size.","30","£18.00","60","£36.00","90","£54.00","120","£72.00","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/rituals-subscription","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Rituals_Susbcription.png?v=1777359827&width=660","Rituals Subscription.","Origin.","Various","Notes.","Seasonal","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£10.80","Select Grind.","Whole Bean","£10.80","French Press","£10.80","Aeropress","£10.80","Pour Over (V60 | Chemex)","£10.80","Espresso","£10.80",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£10.80",""
"https://watchhouse.com/products/roasters-spotlight","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/RoasterSpotlight.gif?v=1774267248&width=660","Roaster's Spotlight Subscription.","Origin.","Various","Notes.","Seasonal","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£13.50","Select Grind.","Whole Bean","£13.50","French Press","£13.50","Aeropress","£13.50","Kalita Wave","£13.50","v60","£13.50",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£13.50",""
"https://watchhouse.com/products/sibarist-disc-63-fast","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Sibairst_Disc_63_Papers.png?v=1777359824&width=660","Sibarist Disc 63 FAST.","","","","","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Quantity.","£14.00","Select Quantity.","25 papers","£14.00","100 papers","£28.00","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/sibarist-wave-fast-s-m-filters","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Sibarist_Wave_FAST_papers_2fffa43f-6a7e-4096-8f80-f9f3f6fb9771.png?v=1778078728&width=660","Sibarist Wave FAST - S/M.","","","","","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Quantity.","£15.00","Select Quantity.","25 papers","£15.00","100 papers","£33.00","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/the-coffee-storage-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Coffee_Storage_Set.png?v=1777359828&width=660","The Coffee Storage Set.","Coffee.","Varies","Origin.","Varies","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select option.","£50.00","Select option.","1829 Espresso / Whole Bean","£50.00","1829 Espresso / Drip","£50.00","1829 Espresso / Espresso","£50.00","1829 Espresso / French Press","£50.00","Páramo Decaf / Whole Bean","£50.00",".product-card {
      --overlay-text-color: #000000;
    }","Páramo Decaf / Drip","£50.00","From"
"https://watchhouse.com/products/the-foundation-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Foundation_Set.png?v=1777359829&width=660","The Foundation Set.","Grinder.","Comandante C40 MK4 Grinder","Drinkware.","Monoware","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£350.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/the-house-press-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-House_Press_Set.png?v=1777359829&width=660","The House Press Set.","French Press.","Fellow","Drinkware.","Monoware","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£130.00","Select Grind.","Whole Bean","£130.00","French Press","£130.00","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/the-modern-filter-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Modern_Filter_Set.png?v=1777359830&width=660","The Modern Filter Set.","Brewer.","Orea V4","Filter Papers.","Sibarist FAST","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select option.","£90.00","Select option.","1829 Espresso / Whole Bean","£90.00","1829 Espresso / Drip","£90.00","Páramo Decaf / Whole Bean","£90.00","Páramo Decaf / Drip","£90.00","Espresso / Whole Bean","£90.00",".product-card {
      --overlay-text-color: #000000;
    }","Espresso / Drip","£90.00","From"
"https://watchhouse.com/products/the-pod-storage-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Pod_Storage_Set.png?v=1777359829&width=660","The Pod Storage Set.","Canister size.","1.2L","Colour.","Matte black","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Collection.","£50.00","Select Collection.","Rituals","£50.00","Ventures","£55.00","Horizons","£60.00","Mixed Set","£65.00","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
